ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C)
2021-06-16T10:30:09.000,9.04,99.99,21.46
2021-06-16T10:35:09.000,9.04,99.99,21.46
2021-06-16T10:40:09.000,9.05,99.99,21.48
2021-06-16T10:45:09.000,9.03,99.99,21.49
2021-06-16T10:50:09.000,9.03,99.99,21.49
2021-06-16T10:55:09.000,9.04,99.99,21.51
2021-06-16T11:00:09.000,9.03,99.99,21.51
2021-06-16T11:05:09.000,9.04,99.99,21.53
2021-06-16T11:10:09.000,9.03,99.99,21.53
2021-06-16T11:15:09.000,9.04,99.99,21.55
2021-06-16T11:20:09.000,9.02,99.99,21.56
2021-06-16T11:25:09.000,9.02,99.99,21.58
2021-06-16T11:30:09.000,9.02,99.99,21.59
2021-06-16T11:35:09.000,9.03,99.99,21.60
2021-06-16T11:40:09.000,9.02,99.99,21.62
2021-06-16T11:45:09.000,9.01,99.99,21.63
2021-06-16T11:50:09.000,9.01,99.99,21.64
2021-06-16T11:55:09.000,9.02,99.99,21.66
2021-06-16T12:00:09.000,9.01,99.99,21.67
2021-06-16T12:05:09.000,9.01,99.99,21.69
2021-06-16T12:10:09.000,9.01,99.99,21.71
2021-06-16T12:15:09.000,9.01,99.99,21.71
2021-06-16T12:20:09.000,9.00,99.99,21.73
2021-06-16T12:25:09.000,9.00,99.99,21.75
2021-06-16T12:30:09.000,9.00,99.99,21.76
2021-06-16T12:35:09.000,9.00,99.99,21.78
2021-06-16T12:40:09.000,9.00,99.99,21.78
2021-06-16T12:45:09.000,9.00,99.99,21.80
2021-06-16T12:50:09.000,8.98,99.99,21.80
2021-06-16T12:55:09.000,8.98,99.99,21.82
2021-06-16T13:00:09.000,8.99,99.99,21.82
2021-06-16T13:05:09.000,8.99,99.99,21.84
2021-06-16T13:10:09.000,8.98,99.99,21.85
2021-06-16T13:15:09.000,8.98,99.99,21.86
2021-06-16T13:20:09.000,8.98,99.99,21.87
2021-06-16T13:25:09.000,8.97,99.99,21.89
2021-06-16T13:30:09.000,8.98,99.99,21.89
2021-06-16T13:35:09.000,8.98,99.99,21.91
2021-06-16T13:40:09.000,8.97,99.99,21.91
2021-06-16T13:45:09.000,8.97,99.99,21.93
2021-06-16T13:50:09.000,8.97,99.99,21.94
2021-06-16T13:55:09.000,8.98,99.99,21.95
2021-06-16T14:00:09.000,8.98,99.99,21.96
2021-06-16T14:05:09.000,8.97,99.99,21.97
2021-06-16T14:10:09.000,8.97,99.99,21.98
2021-06-16T14:15:09.000,8.97,99.99,21.98
2021-06-16T14:20:09.000,8.96,99.99,22.00
2021-06-16T14:25:09.000,8.96,99.99,22.00
2021-06-16T14:30:09.000,8.97,99.99,22.00
2021-06-16T14:35:09.000,8.96,99.99,22.02
2021-06-16T14:40:09.000,8.96,99.99,22.02
2021-06-16T14:45:09.000,8.96,99.99,22.03
2021-06-16T14:50:09.000,8.96,99.99,22.04
2021-06-16T14:55:09.000,8.97,99.99,22.05
2021-06-16T15:00:09.000,8.95,99.99,22.06
2021-06-16T15:05:09.000,8.96,99.99,22.07
2021-06-16T15:10:09.000,8.96,99.99,22.07
2021-06-16T15:15:09.000,8.95,99.99,22.09
2021-06-16T15:20:09.000,8.97,99.99,22.09
2021-06-16T15:25:09.000,8.96,99.99,22.09
2021-06-16T15:30:09.000,8.95,99.99,22.11
2021-06-16T15:35:09.000,8.96,99.99,22.11
2021-06-16T15:40:09.000,8.96,99.99,22.11
2021-06-16T15:45:09.000,8.95,99.99,22.11
2021-06-16T15:50:09.000,8.95,99.99,22.12
2021-06-16T15:55:09.000,8.95,99.99,22.12
2021-06-16T16:00:09.000,8.95,99.99,22.13
2021-06-16T16:05:09.000,8.95,99.99,22.13
2021-06-16T16:10:09.000,8.95,99.99,22.13
2021-06-16T16:15:09.000,8.96,99.99,22.14
